rel_path,suggested,duration,bpm_hint,bpm_audio,key,harmonic_ratio,parsed_instrument,parsed_tokens,is_vocal,is_drum,is_loop_word
07 One Shots/GunshotRevolver_BW.57316.wav,unchanged,1.456,,,,,,gunshotrevolver|bw|57316,False,False,False
07 One Shots/GunshotRifle_BW.57890.wav,unchanged,1.936,,,,,,gunshotrifle|bw|57890,False,False,False
07 One Shots/GunshotShotgun_BW.57917.wav,unchanged,2.9066666666666667,,,,,,gunshotshotgun|bw|57917,False,False,False
07 One Shots/GunshotShotgun_BW.57969.wav,unchanged,1.6906666666666668,,,,,,gunshotshotgun|bw|57969,False,False,False
07 One Shots/GunshotShotgun_BW.58078.wav,unchanged,2.0533333333333332,,,,,,gunshotshotgun|bw|58078,False,False,False
07 One Shots/HRD_8_Bit_Yoi_G.wav,unchanged,0.6666666666666666,,,,,,hrd|8|bit|yoi|g,False,False,False
07 One Shots/HRD_Coin_Collect.wav,unchanged,0.5,,,,,,hrd|coin|collect,False,False,False
07 One Shots/HRD_Coin_Gold.wav,unchanged,1.0,,,,,,hrd|coin|gold,False,False,False
07 One Shots/HRD_Item_Select_2.wav,unchanged,0.5,,,,,,hrd|item|select|2,False,False,False
07 One Shots/HRD_Item_Select_3.wav,unchanged,0.5,,,,,,hrd|item|select|3,False,False,False
07 One Shots/HRD_Jump_1.wav,unchanged,0.25,,,,,,hrd|jump|1,False,False,False
07 One Shots/HRD_Laser_Zap_Maker_a.wav,unchanged,2.3077097505668935,,,,,,hrd|laser|zap|maker|a,False,False,False
07 One Shots/HRD_Laser_Zap_Maker_d.wav,unchanged,2.3077097505668935,,,,,,hrd|laser|zap|maker|d,False,False,False
07 One Shots/HRD_Plop_2.wav,unchanged,0.25,,,,,,hrd|plop|2,False,False,False
07 One Shots/HRD_Sword_Strike_1.wav,unchanged,0.6666666666666666,,,,,,hrd|sword|strike|1,False,False,False
07 One Shots/HRD_Wet_Laser_2_c.wav,unchanged,1.1538548752834468,,,,,,hrd|wet|laser|2|c,False,False,False
07 One Shots/HeBee_Ebm.wav,unchanged,0.43578231292517006,,,,,,hebee|ebm,False,False,False
07 One Shots/KSHMR_Ambiance_Drone_10_D#.wav,unchanged,19.265986394557824,,,,,,kshmr|ambiance|drone|10|d#,False,False,False
07 One Shots/KSHMR_Ambiance_Scene_04_Cave_Dripping.wav,unchanged,15.5,,,,,,kshmr|ambiance|scene|04|cave|dripping,False,False,False
07 One Shots/KSHMR_Bird_Call_12_Down_F#.wav,unchanged,5.156281179138322,,,,,,kshmr|bird|call|12|down|f#,False,False,False
07 One Shots/KSHMR_Clock_02_-_Grandpas_Clock.wav,unchanged,3.75,,,,,,kshmr|clock|02|grandpas|clock,False,False,False
07 One Shots/KSHMR_Exhaust_05.wav,unchanged,7.5,,,,,,kshmr|exhaust|05,False,False,False
07 One Shots/KSHMR_Tape_Stop_06.wav,unchanged,0.3706122448979592,,,,,,kshmr|tape|stop|06,False,False,False
07 One Shots/KSHMR_White_Noise_01.wav,unchanged,3.75,,,,,,kshmr|white|noise|01,False,False,False
07 One Shots/Kid_Funny_Faces.wav,unchanged,2.6551020408163266,,,,,,kid|funny|faces,False,False,False
07 One Shots/KidsCountdown_S011HU.8.wav,unchanged,9.568,,,,,,kidscountdown|s011hu|8,False,False,False
07 One Shots/Kit_05_Siren.wav,unchanged,11.966485260770975,,,,,,kit|05|siren,False,False,False
07 One Shots/LFE_BW.20967.M.wav,unchanged,60.496,,,,,,lfe|bw|20967|m,False,False,False
07 One Shots/LFE_BW.21212.wav,unchanged,43.72266666666667,,,,,,lfe|bw|21212,False,False,False
