src,ext,size,predicted_dest,audio_group
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Sound - not the one to be fuked wit.wav,.wav,1242610,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Dirty Red - i aint bullshittin punk.wav,.wav,496302,/Users/camerondixon/Music/OrganizedLibrary/04 FX,FX
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Livewire - drop it off yo ass bitcj.wav,.wav,569542,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Stayed from the start to the finish.wav,.wav,1188514,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Gin - Rollin down the highway.wav,.wav,1012902,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Jock on my dic.wav,.wav,1100314,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/AL D - Gank in many ways.wav,.wav,703414,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Gimisum - niggas they constantly drankin.wav,.wav,691602,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/SUC - Break a bitch.wav,.wav,140110,/Users/camerondixon/Music/OrganizedLibrary/06 Loops & Grooves/Breakbeats/Unsorted BPM,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Dirty Red - money im constantly stackin.wav,.wav,1094014,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Livewire - real playas talkin.wav,.wav,569542,/Users/camerondixon/Music/OrganizedLibrary/05 Vocals/Vocal One Shots,Vocal
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/DJ Zirk - Fukkin cloud of smoke.wav,.wav,177366,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Dirty Red - now yo muthafuckin ass is dead.wav,.wav,597890,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,Kicks
/Volumes/My Mac/Ableton/Sample Folders/Memphis Acapellas/Lil Blunt - wrong but dey dont know a damn thing.wav,.wav,612066,/Users/camerondixon/Music/OrganizedLibrary/07 One Shots,One Shot
